year,id,lnCI,Structure,Open,TI,PGDP2,PGDP,Fixed,FD,UR,pilot,rank,turnover,Carbon-peaking pressure,EI,CI_ratio,d1,d2
year	id	lnCI	education	major	tenure	age	hometown	Structure	Open	TI	PGDP2	PGDP	Fixed	FD	UR	pilot	rank	turnover	Carbon-peaking pressure	EI	CI_ratio	d1	d2

2001,184,10,0,5,4,66,8,9,0,22,0,0,0,0,,0,0,1
2002,184,10,0,4,4,66,8,8,0,24,0,0,0,0,,0,0,1
2003,184,10,0,4,4,65,8,9,0,25,0,0,0,0,,0,0,1
2004,184,11,0,4,5,66,8,9,0,26,0,0,0,0,,0,0,0
2005,184,11,0,11,5,66,8,9,0,27,0,0,0,0,,0,1,1
2006,184,11,0,1,5,66,8,9,0,30,0,0,0,0,967,0,1,0
2007,184,11,0,2,5,67,8,9,0,34,0,0,0,0,1062,0,0,0
2008,184,11,0,2,5,67,8,9,0,36,0,0,1,0,1158,0,1,1
2009,184,11,0,1,6,66,8,10,0,38,0,0,0,0,1236,0,1,0
2010,184,11,0,1,6,67,8,10,0,35,0,0,0,0,1359,0,1,1
2011,184,11,0,1,6,68,8,10,0,38,0,0,1,0,1463,0,1,1
2012,184,11,0,2,7,68,8,10,0,40,0,0,0,0,1421,0,1,0
2013,184,11,0,2,7,68,8,10,0,41,0,0,1,0,1383,0,1,1
2014,184,11,0,4,7,68,8,10,0,43,0,0,0,0,1429,0,1,0
2015,184,11,0,4,7,68,8,10,0,44,0,0,0,0,1222,0,1,1
2016,184,11,0,5,8,68,8,10,0,46,0,0,1,0,1167,0,1,1
2017,184,11,0,5,8,68,8,10,0,48,0,0,0,0,4609,0,1,0
2018,184,11,0,7,8,68,8,10,0,50,0,0,0,0,4902,0,1,1
2019,184,11,0,9,8,68,8,10,0,51,0,0,1,0,5279,0,1,1
2000,185,10,0,0,4,69,8,8,0,18,0,0,1,0,,,0,0
2001,185,10,0,0,4,68,8,8,0,20,0,0,0,0,,0,0,1
2002,185,10,0,0,4,68,8,8,0,23,0,0,0,0,,0,0,0
2003,185,10,0,0,4,67,8,8,0,25,0,0,0,0,,0,0,1
2004,185,10,0,4,4,68,8,8,0,27,0,0,0,0,,0,0,0
2005,185,11,0,2,4,66,8,9,0,28,0,0,0,0,,0,0,1
2006,185,11,0,1,5,66,8,9,0,31,0,0,1,0,1153,0,0,0
2007,185,11,0,1,5,68,8,9,0,33,0,0,1,0,1218,0,0,1
2008,185,11,0,0,5,69,8,9,0,35,0,0,1,0,1284,0,0,0
2009,185,11,0,0,5,69,8,9,0,36,0,0,0,0,1655,0,0,0
2010,185,11,0,0,6,69,8,9,0,36,0,0,0,0,1396,0,0,0
2011,185,11,0,0,6,71,8,9,0,38,0,0,0,0,1575,0,1,1
2012,185,11,0,0,6,72,8,10,0,39,0,0,0,0,955,0,1,1
2013,185,11,0,0,6,72,8,10,0,40,0,0,1,0,1079,0,1,0
2014,185,11,0,1,6,72,8,10,0,41,0,0,1,0,1035,0,1,0
2015,185,11,0,0,7,72,8,10,0,43,0,0,0,0,1222,0,1,1
2016,185,11,0,0,7,72,8,10,0,44,0,0,0,0,1238,0,1,1
2017,185,11,0,0,7,71,8,10,0,46,0,0,0,0,4763,0,1,0
2018,185,11,0,0,8,71,8,10,0,48,0,0,0,0,5255,0,1,0
2019,185,11,0,1,8,70,8,10,0,49,0,0,0,0,5684,0,1,0
2000,186,10,0,2,5,71,8,8,0,24,0,0,1,0,,,0,0
2001,186,10,0,2,5,70,8,8,0,25,0,0,0,0,,0,0,1
2002,186,10,0,2,5,70,8,8,0,27,0,0,0,0,,0,0,1
2003,186,11,0,1,5,70,8,9,0,28,0,0,1,0,,0,0,0
2004,186,11,0,1,5,72,8,9,0,30,0,0,0,0,,0,0,1
2005,186,11,0,1,5,73,9,9,0,30,0,0,0,0,,0,0,0
2006,186,11,0,13,6,73,9,9,0,32,0,0,0,0,1525,0,1,1
2007,186,11,1,11,6,73,9,9,0,34,0,0,0,0,1583,0,1,0
