year,citycode,lnCI,education,major,tenure,age,hometown,Structure,Open,TI,PGDP2,PGDP,Fixed,FD,UR,pilot,rank,turnover,pressure,EI,CI_ratio,d1,d2
2013,450300,11.111032,2,1,1,54,0,0.47823954,3.3968816,8.0212564,75.38992876,8.6827374,10.158794,0.19931071,44.149165,1,0,1,0,1300,0,1,1
2014,450300,11.104434,2,1,2,55,0,0.47346735,3.1590805,8.4398804,75.5817933,8.693779,10.181868,0.19948213,45.600114,1,0,0,0,1336,0,1,1
2015,450300,11.026309,2,1,3,56,0,0.46371353,2.95011,8.7662382,75.23947996,8.6740694,10.283923,0.19666451,46.619769,1,0,0,0,1440,0,1,1
2016,450300,11.073946,2,1,4,57,0,0.44614184,3.021486,8.8902731,74.89036771,8.6539221,10.365773,0.20205143,47.610301,1,0,0,0,2024,0,1,0
2017,450300,11.212477,2,1,5,58,0,0.38722265,3.3313498,9.0394335,74.14503623,8.6107512,10.374534,0.20756422,48.910421,1,0,0,0,5191,0,1,0
2018,450300,11.439469,2,1,6,59,0,0.32708734,3.9958198,8.6258678,71.62887889,8.4633846,10.444088,0.20161951,50,1,1,0,0,6649,0,1,0
2019,450300,11.480531,2,1,7,60,0,0.22558583,4.0007777,8.5621662,72.21620115,8.4980116,10.470039,0.20056367,50.899844,1,1,0,0,7360,0,1,0
2000,450400,10.315827,1,1,2,50,0,0.30306518,12.747555,4.2046928,67.86066675,8.2377586,7.4800172,0.087606005,42.744331,0,0,0,0,,,0,1
2001,450400,10.272819,1,1,3,51,0,0.29947415,13.513333,3.8501475,67.90550239,8.2404795,7.6381841,0.095509104,42.202406,0,0,0,0,,0,0,0
2002,450400,10.332126,1,1,4,52,0,0.3072843,14.890084,4.2626801,67.78255246,8.233016,7.6765766,0.0981429,41.660481,0,0,0,0,,0,0,0
2003,450400,10.509269,2,2,1,48,0,0.34579235,16.407942,4.2484951,67.08177907,8.1903467,7.9105859,0.18748564,41.118556,0,0,1,0,,0,0,1
2004,450400,10.555372,2,2,2,49,0,0.38619021,15.703182,4.1896548,67.58767399,8.2211723,8.3383045,0.17747186,40.576631,0,0,0,0,,0,0,1
2005,450400,10.72176,2,2,3,50,0,0.42736426,16.184566,4.6249728,67.66062532,8.2256079,8.5151587,0.17498824,39.417158,0,0,0,0,,0,0,0
2006,450400,10.849965,2,2,4,51,0,0.46679711,12.72043,4.5108595,68.04766236,8.2491007,8.5783024,0.17784742,39.248468,0,0,0,0,982,0,0,0
2007,450400,10.898681,2,2,5,52,0,0.51630813,11.770144,4.5849676,68.30889104,8.2649193,8.6495667,0.17766677,39.830733,0,0,0,0,1277,0,1,1
2008,450400,10.875565,2,1,1,45,0,0.5385918,8.6849432,4.3307333,69.57271974,8.3410263,8.7807493,0.15820727,41.029412,0,0,1,0,1022,0,1,1
2009,450400,11.007193,1,2,1,54,0,0.54359925,8.404088,4.6249728,68.80689892,8.2949924,9.1290112,0.16786204,41.993183,0,0,1,0,1814,0,1,0
2010,450400,11.02681,1,2,2,55,0,0.58905762,6.9561701,4.9836068,69.73825901,8.3509436,9.3211651,0.16053478,42.981056,0,0,0,0,1913,0,1,0
2011,450400,11.109867,1,2,3,56,0,0.62740624,6.7563977,5.2149358,71.6716152,8.465909,9.4908648,0.16448775,44.781712,0,0,0,0,3403,0,1,1
2012,450400,11.145836,1,2,4,57,0,0.63083172,9.1377592,6.4345465,71.35571664,8.4472313,9.6697254,0.17933336,46.848754,0,0,0,0,2010,0,1,0
2013,450400,11.193873,1,2,5,58,0,0.660308,10.851357,6.6463904,71.87060887,8.4776535,9.5363436,0.1725467,48.06052,0,0,0,0,2262,0,1,0
2014,450400,11.177526,3,2,1,51,0,0.60677195,7.1801834,6.8511848,71.85279164,8.4766026,9.5060225,0.17251714,48.919509,0,0,1,0,2505,0,1,0
2015,450400,11.128929,3,2,2,52,0,0.57844263,5.5052438,7.1685801,70.54482202,8.3990965,9.6031313,0.16746128,49.739948,0,0,0,0,2289,0,1,1
2016,450400,11.13001,3,2,3,53,0,0.57785058,3.6015282,7.5688958,70.58838645,8.4016895,9.6411047,0.16422218,50.596421,0,0,0,0,2634,0,1,0
2017,450400,11.155568,3,2,4,54,0,0.5871833,4.356833,7.6280313,71.60039058,8.4617014,9.7058163,0.16144505,51.662825,0,0,0,0,5371,0,1,1
2018,450400,11.617235,2,1,1,55,0,0.44696599,7.7968535,7.3205271,65.19521028,8.0743551,9.7814665,0.1669458,52.59719,0,1,1,0,9291,1,1,0
2019,450400,11.67348,2,1,2,56,0,0.34452486,9.0454092,7.1876574,65.46033912,8.0907564,9.8446846,0.17359774,52.973676,0,1,0,0,9741,0,1,0
2000,450500,10.65954,3,1,1,45,0,0.27984518,5.3912883,3.6888795,78.12966936,8.8390989,7.5470042,0.20002191,19.055721,0,1,1,0,,,0,0
2001,450500,10.616227,3,1,2,46,0,0.27438921,4.9128103,3.5553482,77.81254971,8.8211422,7.3676944,0.18745366,22.948117,0,1,0,0,,0,0,0
2002,450500,10.692416,3,1,3,47,0,0.27360666,6.64081,3.9889841,77.47231697,8.801836,7.5568142,0.20145795,26.840513,0,1,0,0,,0,0,1
2003,450500,10.919647,3,1,4,48,0,0.30555159,8.5218,4.2046928,76.09824143,8.7234306,7.9270124,0.23778689,30.732909,0,1,0,0,,0,0,1
2004,450500,11.001689,3,1,5,49,0,0.33382627,8.0210686,4.0775375,75.91813601,8.7131014,7.9972515,0.22867508,34.625305,0,1,0,0,,0,1,1
2005,450500,11.284265,3,1,6,50,0,0.30259401,9.8439674,4.3040652,73.31792525,8.5625887,7.7990336,0.2196745,38.44238,0,1,0,0,,0,1,0
2006,450500,11.397,3,1,7,51,0,0.33093444,12.708251,4.8121843,72.68609067,8.5256138,7.9642053,0.24157356,41.958181,0,1,0,0,1300,0,1,1
2007,450500,11.368452,3,1,8,52,0,0.31772515,16.111824,4.7957907,73.35663668,8.5648489,8.0617657,0.24090092,44.684418,0,1,0,0,1775,0,1,1
2008,450500,11.411336,3,1,9,53,0,0.34936708,17.568506,4.5217886,74.00472848,8.6026001,8.7358122,0.1782289,46.494183,0,1,0,0,1741,0,1,0
2009,450500,11.50043,2,2,1,48,0,0.36877841,16.938215,4.4998097,73.72515217,8.5863352,9.0599136,0.21262862,47.537271,0,1,1,0,2080,0,1,0
2010,450500,11.542196,2,2,2,49,0,0.41822577,22.623199,4.9836068,74.07759839,8.6068344,9.3084106,0.19865936,48.606509,0,1,0,0,2305,0,1,0
2011,450500,11.703431,2,2,3,50,0,0.41763252,21.727982,5.1984968,74.75441923,8.6460638,9.3586569,0.20105901,50.639948,0,1,0,0,2857,0,1,0
2012,450500,11.683327,2,2,4,51,0,0.48206943,20.731159,6.1758671,75.45668426,8.6865807,9.3467875,0.18532352,52.010178,0,1,0,0,3750,0,1,1
2013,450500,11.744537,2,2,5,52,0,0.50837517,22.383009,6.8341088,75.82994845,8.7080393,9.1498442,0.16682373,53.131682,0,1,0,0,4239,0,1,0
2014,450500,11.823363,2,2,6,53,0,0.53096128,25.020025,6.3885612,76.44413553,8.7432337,9.1846447,0.15825705,54.457606,0,1,0,0,4891,0,1,1
2015,450500,11.835331,2,2,7,54,0,0.50454909,27.591427,6.9744787,75.011802,8.6609354,9.2342968,0.16076891,55.342314,0,1,1,0,5477,0,1,1
2016,450500,11.835052,2,1,1,54,0,0.51273173,20.66663,7.6806374,75.43937116,8.6855841,9.2458162,0.16709985,56.299811,0,1,1,0,6564,0,1,1
2017,450500,11.859836,3,1,1,55,0,0.54369676,18.141245,7.2772479,77.13313181,8.782547,9.2326689,0.15814751,57.698551,0,1,0,0,8472,0,1,0
